Department,Failure Rate,Number of Users,Campaign Count,Campaign Failures,Drive By Campaign Failure Rate,Data Entry Campaign Failure Rate,Attachment Campaign Failure Rate
NETFLEX GRWTH PRJ CA,5.60%,24,10,8,6.90%,3.10%,4.30%
CGO Wildrose Pipe,5.60%,21,10,9,7.10%,2.40%,4.80%
SC Ops Contracts US,5.60%,13,10,5,3.70%,4.50%,15.40%
Badger Area-ANRP,5.60%,30,10,13,3.40%,0.00%,26.70%
BUIT ENERGY CA,5.60%,2,9,1,0.00%,0.00%,50.00%
HR Consulting Corp,5.60%,11,10,4,2.20%,6.30%,18.20%
Liq Volumetric Acctg,5.60%,7,9,3,5.90%,0.00%,14.30%
Liquids Control Cent,5.60%,4,5,1,0.00%,0.00%,25.00%
USNG Buckeye Xpress,5.60%,11,10,4,2.30%,5.00%,22.20%
USSM Strge RE&G,5.60%,17,10,7,3.80%,6.70%,11.80%
Govermnt Relation CA,5.50%,25,10,10,5.30%,4.50%,8.30%
PI Q & S Managment,5.50%,10,10,4,2.20%,0.00%,30.00%
NSIT CORE NET SRV US,5.50%,7,10,3,2.80%,8.30%,14.30%
SaginawValley-ANRP,5.50%,14,10,6,2.90%,0.00%,28.60%
SCP US Capital Proj,5.50%,8,10,3,5.90%,0.00%,14.30%
USNG Marketing East,5.50%,7,10,3,2.90%,7.10%,14.30%
COA5: C Ops 5 BusOps,5.40%,26,10,11,3.20%,5.80%,15.40%
USNG Comm Services,5.40%,12,10,5,1.80%,0.00%,33.30%
USNG Gas Contrl East,5.40%,62,10,26,3.30%,2.60%,21.00%
Energy Dev Proj Eng,5.40%,9,10,4,6.40%,0.00%,11.10%
HR People Management,5.40%,5,8,2,4.50%,0.00%,20.00%
USNG Nominat&Schedul,5.40%,50,10,20,3.50%,2.10%,20.40%
Gas Proj Engineering,5.30%,84,10,35,5.10%,1.20%,14.60%
USNG Safety & Qual,5.30%,236,10,76,3.50%,5.50%,11.70%
Measurement Develpmt,5.30%,6,10,2,4.20%,12.50%,0.00%
NMML Pipe,5.30%,8,8,3,0.00%,7.10%,25.00%
