Station Name,CALGARY INTL A,,,,,,,,,,,,,,,,,,,,,,
Province,ALBERTA,,,,,,,,,,,,,,,,,,,,,,
Current Station Operator,NAV Canada,,,,,,,,,,,,,,,,,,,,,,
Latitude,51.12,,,,,,,,,,,,,,,,,,,,,,
Longitude,-114.01,,,,,,,,,,,,,,,,,,,,,,
Elevation,1099.1,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,3031092,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71877,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YYC,,,,,,,,,,,,,,,,,,,,,,
All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,
NA,Not Available,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
1/3/2019 3:00,2019,1,3,3:00,7,,-5.3,,41,,28,,19,,24.1,,87.6,,,,,,NA
1/3/2019 4:00,2019,1,3,4:00,7.4,,-4.4,,43,,28,,32,,24.1,,87.55,,,,,,NA
1/3/2019 5:00,2019,1,3,5:00,5.5,,-4.4,,49,,21,,11,,24.1,,87.57,,,,,,Mainly Clear
1/3/2019 6:00,2019,1,3,6:00,3,,-4.5,,58,,36,,1,,24.1,,87.53,,,,,,NA
1/3/2019 7:00,2019,1,3,7:00,1.4,,-4.5,,65,,25,,5,,24.1,,87.52,,,,,,NA
1/3/2019 8:00,2019,1,3,8:00,0.1,,-4.1,,74,,36,,3,,24.1,,87.52,,,,,,Mostly Cloudy
1/3/2019 9:00,2019,1,3,9:00,0.5,,-4.1,,71,,15,,10,,48.3,,87.52,,,,,,NA
1/3/2019 10:00,2019,1,3,10:00,0.7,,-3.8,,72,,21,,7,,48.3,,87.51,,,,,,NA
1/3/2019 11:00,2019,1,3,11:00,4.8,,-3.5,,55,,21,,16,,48.3,,87.5,,,,,,Mainly Clear
1/3/2019 12:00,2019,1,3,12:00,8.1,,-3.6,,43,,21,,9,,48.3,,87.47,,,,,,NA
1/3/2019 13:00,2019,1,3,13:00,8.6,,-2.8,,45,,18,,7,,40.2,,87.41,,,,,,NA
1/3/2019 14:00,2019,1,3,14:00,9.7,,-3.2,,40,,13,,8,,40.2,,87.33,,,,,,Mainly Clear
1/3/2019 15:00,2019,1,3,15:00,8.1,,-2.2,,48,,7,,11,,32.2,,87.33,,,,,,NA
1/3/2019 16:00,2019,1,3,16:00,5.3,,-1.6,,61,,8,,11,,40.2,,87.34,,,,,,NA
1/3/2019 17:00,2019,1,3,17:00,2.6,,-2.4,,70,,13,,9,,32.2,,87.34,,,,,,Mostly Cloudy
1/3/2019 18:00,2019,1,3,18:00,3.1,,-2,,69,,19,,5,,24.1,,87.31,,,,,,NA
1/3/2019 19:00,2019,1,3,19:00,3,,-2.7,,66,,21,,12,,24.1,,87.4,,,,,,NA
1/3/2019 20:00,2019,1,3,20:00,0.9,,-3.2,,74,,19,,8,,24.1,,87.39,,,,,,Clear
1/3/2019 21:00,2019,1,3,21:00,0.4,,-3.8,,73,,7,,9,,24.1,,87.44,,,,,,NA
1/3/2019 22:00,2019,1,3,22:00,0.3,,-3.4,,76,,7,,3,,24.1,,87.47,,,,,,NA
1/3/2019 23:00,2019,1,3,23:00,0.7,,-4.1,,70,,16,,8,,24.1,,87.47,,,,,,Mainly Clear
1/4/2019 0:00,2019,1,4,0:00,1.8,,-3.4,,69,,21,,6,,24.1,,87.51,,,,,,NA
1/4/2019 1:00,2019,1,4,1:00,-1.9,,-4.8,,81,,2,,7,,24.1,,87.48,,,,-5,,NA
1/4/2019 2:00,2019,1,4,2:00,-1.6,,-4.4,,81,,7,,5,,24.1,,87.47,,,,-3,,Mainly Clear
1/4/2019 3:00,2019,1,4,3:00,-0.9,,-4.4,,77,,31,,4,,24.1,,87.43,,,,-2,,NA
1/4/2019 4:00,2019,1,4,4:00,-2.4,,-4.8,,84,,36,,5,,24.1,,87.36,,,,-4,,NA
1/4/2019 5:00,2019,1,4,5:00,-1.9,,-4.5,,83,,36,,2,,24.1,,87.28,,,,-3,,Mostly Cloudy
1/4/2019 6:00,2019,1,4,6:00,-2.8,,-5.6,,81,,36,,2,,24.1,,87.2,,,,-4,,NA
1/4/2019 7:00,2019,1,4,7:00,0.3,,-4.5,,70,,13,,10,,24.1,,87.19,,,,,,NA
1/4/2019 8:00,2019,1,4,8:00,5.5,,-4.7,,48,,25,,24,,24.1,,87.21,,,,,,Mostly Cloudy
1/4/2019 9:00,2019,1,4,9:00,5.2,,-3.8,,52,,23,,41,,64.4,,87.17,,,,,,NA
1/4/2019 10:00,2019,1,4,10:00,5.9,,-3.4,,51,,23,,49,,64.4,,87.13,,,,,,NA
1/4/2019 11:00,2019,1,4,11:00,7.2,,-4.3,,44,,26,,31,,64.4,,87.22,,,,,,Mainly Clear
1/4/2019 12:00,2019,1,4,12:00,8.3,,-6.1,,36,,26,,36,,64.4,,87.27,,,,,,NA
1/4/2019 13:00,2019,1,4,13:00,9.1,,-8.3,,28,,27,,34,,64.4,,87.29,,,,,,NA
1/4/2019 14:00,2019,1,4,14:00,9,,-8.9,,27,,28,,40,,64.4,,87.37,,,,,,Mainly Clear
1/4/2019 15:00,2019,1,4,15:00,8.4,,-8.9,,28,,27,,45,,64.4,,87.44,,,,,,NA
1/4/2019 16:00,2019,1,4,16:00,7.4,,-8.5,,31,,28,,25,,64.4,,87.6,,,,,,NA
1/4/2019 17:00,2019,1,4,17:00,6,,-8.9,,33,,28,,17,,64.4,,87.7,,,,,,Mainly Clear
1/4/2019 18:00,2019,1,4,18:00,-0.1,,-6.2,,64,,2,,18,,24.1,,87.8,,,,-5,,NA
1/4/2019 19:00,2019,1,4,19:00,-4,,-6.5,,83,,36,,13,,24.1,,87.86,,,,-9,,NA
1/4/2019 20:00,2019,1,4,20:00,-5.4,,-6.4,,93,,2,,13,,9.7,,87.94,,,,-11,,Fog
1/4/2019 21:00,2019,1,4,21:00,-5.6,,-6.5,,93,,3,,8,,0.4,,87.99,,,,-9,,Freezing Fog
1/4/2019 22:00,2019,1,4,22:00,-5.7,,-6.7,,93,,33,,4,,1,,88.02,,,,-8,,Fog
1/4/2019 23:00,2019,1,4,23:00,-6.1,,-7.1,,93,,4,,5,,0.4,,88.02,,,,-9,,Freezing Fog
1/5/2019 0:00,2019,1,5,0:00,-7.4,,-8.5,,92,,31,,4,,0.4,,88.06,,,,-9,,Freezing Fog
1/5/2019 1:00,2019,1,5,1:00,-8.3,,-9.5,,91,,36,,2,,1.2,,88.06,,,,-9,,Fog
1/5/2019 2:00,2019,1,5,2:00,-7.3,,-8.4,,91,,17,,13,,8.1,,88.12,,,,-13,,Fog
1/5/2019 3:00,2019,1,5,3:00,-8.5,,-9.8,,91,,5,,9,,0.4,,88.18,,,,-13,,Freezing Fog
1/5/2019 4:00,2019,1,5,4:00,-9,,-10.3,,90,,5,,9,,0.4,,88.22,,,,-14,,Freezing Fog
1/5/2019 5:00,2019,1,5,5:00,-8.3,,-9.6,,90,,32,,5,,0.4,,88.26,,,,-11,,Freezing Fog
1/5/2019 6:00,2019,1,5,6:00,-8.9,,-10.3,,90,,3,,7,,0.4,,88.28,,,,-13,,Freezing Fog
1/5/2019 7:00,2019,1,5,7:00,-9,,-10.3,,90,,26,,5,,1,,88.31,,,,-12,,Fog
1/5/2019 8:00,2019,1,5,8:00,-8.2,,-9.5,,91,,36,,3,,4.8,,88.29,,,,-10,,Fog
1/5/2019 9:00,2019,1,5,9:00,-8.7,,-10.1,,90,,13,,5,,6.4,,88.3,,,,-11,,Fog
1/5/2019 10:00,2019,1,5,10:00,-7,,-8.1,,92,,16,,7,,6.4,,88.32,,,,-11,,Fog
1/5/2019 11:00,2019,1,5,11:00,-5.8,,-6.9,,93,,14,,8,,6.4,,88.25,,,,-10,,Fog
1/5/2019 12:00,2019,1,5,12:00,-4.8,,-5.7,,93,,17,,8,,6.4,,88.19,,,,-8,,Fog
1/5/2019 13:00,2019,1,5,13:00,-5,,-5.9,,93,,14,,11,,6.4,,88.15,,,,-10,,Fog
1/5/2019 14:00,2019,1,5,14:00,-6.6,,-7.7,,92,,11,,8,,4,,88.07,,,,-10,,Fog
1/5/2019 15:00,2019,1,5,15:00,-6.9,,-8.2,,91,,14,,12,,3.2,,88.05,,,,-12,,Fog
1/5/2019 16:00,2019,1,5,16:00,-7.3,,-8.4,,92,,17,,8,,0.4,,87.99,,,,-11,,Freezing Fog
1/5/2019 17:00,2019,1,5,17:00,-7,,-8.1,,92,,17,,9,,0.6,,87.88,,,,-11,,Freezing Fog
1/5/2019 18:00,2019,1,5,18:00,-6.9,,-8,,92,,15,,13,,0.8,,87.79,,,,-12,,Freezing Fog
1/5/2019 19:00,2019,1,5,19:00,-6.8,,-7.9,,92,,15,,10,,0.4,,87.69,,,,-11,,Freezing Fog
1/5/2019 20:00,2019,1,5,20:00,-6.7,,-7.7,,92,,17,,10,,0.6,,87.6,,,,-11,,Freezing Fog
1/5/2019 21:00,2019,1,5,21:00,-6.4,,-7.4,,92,,16,,12,,1,,87.46,,,,-12,,Fog
1/5/2019 22:00,2019,1,5,22:00,-6.1,,-7.2,,93,,17,,10,,1,,87.37,,,,-11,,Fog
1/5/2019 23:00,2019,1,5,23:00,-6,,-7,,93,,16,,9,,1.2,,87.24,,,,-10,,Fog
1/6/2019 0:00,2019,1,6,0:00,-5.7,,-6.7,,93,,19,,9,,2.8,,87.12,,,,-10,,Fog
1/6/2019 1:00,2019,1,6,1:00,-5.7,,-6.6,,93,,18,,11,,3.6,,87.03,,,,-10,,Fog
1/6/2019 2:00,2019,1,6,2:00,-5.6,,-6.6,,93,,20,,9,,4.8,,86.9,,,,-10,,Fog
1/6/2019 3:00,2019,1,6,3:00,-5.4,,-6.4,,93,,19,,9,,8.1,,86.78,,,,-9,,Fog
1/6/2019 4:00,2019,1,6,4:00,-6,,-7,,93,,17,,13,,9.7,,86.67,,,,-11,,Fog
1/6/2019 5:00,2019,1,6,5:00,-5.7,,-6.7,,93,,21,,7,,12.9,,86.6,,,,-9,,Mostly Cloudy
1/6/2019 6:00,2019,1,6,6:00,-4.8,,-5.7,,93,,25,,11,,19.3,,86.51,,,,-9,,NA
1/6/2019 7:00,2019,1,6,7:00,-5.4,,-6.7,,91,,19,,13,,24.1,,86.46,,,,-11,,NA
1/6/2019 8:00,2019,1,6,8:00,-4.2,,-6.7,,83,,30,,5,,24.1,,86.4,,,,-6,,Mostly Cloudy
1/6/2019 9:00,2019,1,6,9:00,-5,,-7.4,,83,,18,,7,,64.4,,86.41,,,,-8,,NA
1/6/2019 10:00,2019,1,6,10:00,-3.9,,-6.4,,82,,26,,4,,64.4,,86.41,,,,-6,,NA
