Line,Milepost_KM,CenterlineElevation_m,Comment,WallThickness,OutsideDiameter,WallRoughness,LocationType,LocationTag,Location,InnerPipeRadius_m,SegmentVolume_M3
Cushing,479.338,259.8,CSHSP,13.1,914.4,0.00004572,Pump Station,CSHSP-B0,CSHSP,0.4441,6705.930954
Cushing,490.161,295.6,CSHSP-01B-B0-MLV,15.7,914.4,0.00004572,Valve,CSHSP-01B-B0,CSHSP,0.4415,10955.23326
Cushing,508.051,267,CSHSP-01A-B0-MLV,13.1,914.4,0.00004572,Valve,CSHSP-01A-B0,CSHSP,0.4441,6383.738946
Cushing,518.354,231,CSHSP-02A-B0-MLV,13.1,914.4,0.00004572,Valve,CSHSP-02A-B0,CSHSP,0.4441,13620.04751
Cushing,540.336,276.9,CSHSP-03A-B0-MLV,13.1,914.4,0.00004572,Valve,CSHSP-03A-B0,CSHSP,0.4441,2816.082065
Cushing,544.881,292.1,CSHSP-04A-B0-MLV,13.1,914.4,0.00004572,Valve,CSHSP-04A-B0,CSHSP,0.4441,8569.687796
Cushing,558.712,254,CRMWL,13.1,914.4,0.00004572,Pump Station,CRMWL-B0,CRMWL,0.4441,17625.7616
Cushing,587.159,230.8,CRMWL-01A-B0-MLV,13.1,914.4,0.00004572,Valve,CRMWL-01A-B0,CRMWL,0.4441,6819.937356
Cushing,598.166,248.5,CRMWL-02A-B0-MLV,13.1,914.4,0.00004572,Valve,CRMWL-02A-B0,CRMWL,0.4441,4012.529692
Cushing,604.642,262.4,CRMWL-03A-B0-MLV,13.1,914.4,0.00004572,Valve,CRMWL-03A-B0,CRMWL,0.4441,18072.49321
Cushing,633.81,206.9,TPELO,13.1,914.4,0.00004572,Pump Station,TPELO-B0,TPELO,0.4441,10935.32065
Cushing,651.459,212.7,TPELO-01A-B0-MLV,11.8,914.4,0.00004572,Valve,TPELO-01A-B0,TPELO,0.4454,19166.27814
Cushing,682.212,156.3,TPELO-02A-B0-MLV,13.1,914.4,0.00004572,Valve,TPELO-02A-B0,TPELO,0.4441,3390.451278
Cushing,687.684,163.3,TPELO-03A-B0-MLV,13.1,914.4,0.00004572,Valve,TPELO-03A-B0,TPELO,0.4441,18723.69283
