"Station Name","CALGARY INTL A"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","51.12"
"Longitude","-114.01"
"Elevation","1099.10"
"Climate Identifier","3031092"
"WMO Identifier","71877"
"TC Identifier","YYC"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-04-12 00:00","2019","04","12","00:00","0.4","","-0.3","","95","","35","","14","","6.4","","88.73","","","","","","Snow Showers,Fog"
"2019-04-12 01:00","2019","04","12","01:00","0.3","","-0.5","","94","","34","","18","","8.1","","88.74","","","","","","Snow Showers,Fog"
"2019-04-12 02:00","2019","04","12","02:00","0.3","","-0.7","","93","","35","","20","","8.1","","88.76","","","","","","Snow Pellets,Fog"
"2019-04-12 03:00","2019","04","12","03:00","0.0","","-1.2","","92","","36","","21","","8.1","","88.78","","","","-5","","Fog"
"2019-04-12 04:00","2019","04","12","04:00","-0.3","","-1.6","","91","","36","","27","","9.7","","88.78","","","","-7","","Fog"
"2019-04-12 05:00","2019","04","12","05:00","-0.8","","-2.0","","91","","34","","15","","8.1","","88.83","","","","-5","","Fog"
"2019-04-12 06:00","2019","04","12","06:00","-1.0","","-2.2","","92","","36","","11","","6.4","","88.87","","","","-5","","Fog"
"2019-04-12 07:00","2019","04","12","07:00","-1.1","","-2.5","","91","","34","","19","","6.4","","88.88","","","","-6","","Fog"
"2019-04-12 08:00","2019","04","12","08:00","-1.0","","-2.1","","92","","2","","18","","6.4","","88.90","","","","-6","","Fog"
"2019-04-12 09:00","2019","04","12","09:00","-0.6","","-2.4","","88","","35","","12","","8.1","","88.89","","","","-5","","Fog"
"2019-04-12 10:00","2019","04","12","10:00","0.5","","-1.7","","85","","36","","14","","16.1","","88.87","","","","","","NA"
"2019-04-12 11:00","2019","04","12","11:00","2.2","","-1.6","","76","","2","","12","","24.1","","88.86","","","","","","Mainly Clear"
"2019-04-12 12:00","2019","04","12","12:00","3.0","","-1.1","","74","","35","","10","","16.1","","88.82","","","","","","NA"
"2019-04-12 13:00","2019","04","12","13:00","4.7","","-1.6","","64","","29","","9","","16.1","","88.76","","","","","","NA"
"2019-04-12 14:00","2019","04","12","14:00","5.6","","-1.5","","60","","28","","5","","16.1","","88.69","","","","","","Mostly Cloudy"
"2019-04-12 15:00","2019","04","12","15:00","7.4","","-1.6","","53","","17","","6","","16.1","","88.63","","","","","","NA"
"2019-04-12 16:00","2019","04","12","16:00","6.9","","-2.8","","50","","18","","16","","16.1","","88.55","","","","","","NA"
"2019-04-12 17:00","2019","04","12","17:00","7.0","","-3.5","","47","","22","","13","","24.1","","88.54","","","","","","Mainly Clear"
"2019-04-12 18:00","2019","04","12","18:00","6.7","","-2.7","","51","","20","","14","","24.1","","88.49","","","","","","NA"
"2019-04-12 19:00","2019","04","12","19:00","5.3","","-2.9","","56","","22","","17","","32.2","","88.46","","","","","","NA"
"2019-04-12 20:00","2019","04","12","20:00","3.6","","-4.1","","57","","19","","8","","24.1","","88.40","","","","","","Mainly Clear"
"2019-04-12 21:00","2019","04","12","21:00","3.2","","-3.5","","62","","19","","9","","24.1","","88.37","","","","","","NA"
"2019-04-12 22:00","2019","04","12","22:00","3.3","","-2.0","","68","","22","","9","","24.1","","88.34","","","","","","NA"
"2019-04-12 23:00","2019","04","12","23:00","1.1","","-3.2","","73","","17","","10","","24.1","","88.32","","","","","","Mostly Cloudy"
"2019-04-13 00:00","2019","04","13","00:00","1.4","","-3.2","","71","","22","","8","","24.1","","88.29","","","","","","NA"
"2019-04-13 01:00","2019","04","13","01:00","0.4","","-3.2","","77","","19","","6","","24.1","","88.27","","","","","","NA"
"2019-04-13 02:00","2019","04","13","02:00","2.0","","-2.7","","71","","27","","7","","24.1","","88.23","","","","","","Clear"
"2019-04-13 03:00","2019","04","13","03:00","-1.0","","-4.2","","79","","17","","9","","24.1","","88.20","","","","-4","","NA"
"2019-04-13 04:00","2019","04","13","04:00","0.4","","-5.0","","67","","23","","7","","24.1","","88.16","","","","","","NA"
"2019-04-13 05:00","2019","04","13","05:00","0.6","","-5.0","","66","","15","","7","","24.1","","88.17","","","","","","Mainly Clear"
"2019-04-13 06:00","2019","04","13","06:00","0.3","","-5.6","","65","","15","","8","","64.4","","88.11","","","","","","NA"
"2019-04-13 07:00","2019","04","13","07:00","0.7","","-4.5","","68","","16","","9","","64.4","","88.07","","","","","","NA"
"2019-04-13 08:00","2019","04","13","08:00","2.7","","-3.5","","64","","17","","9","","64.4","","88.06","","","","","","Mostly Cloudy"
"2019-04-13 09:00","2019","04","13","09:00","5.5","","-6.2","","43","","23","","12","","64.4","","88.01","","","","","","NA"
"2019-04-13 10:00","2019","04","13","10:00","7.1","","-7.0","","36","","23","","11","","64.4","","87.96","","","","","","NA"
"2019-04-13 11:00","2019","04","13","11:00","8.5","","-7.0","","33","","29","","13","","64.4","","87.93","","","","","","Mostly Cloudy"
